pdf_name,revenue_score,forecast_score,profit_score,polarity
Investor-Letter-Q3-2011,-0.29568336717784405,-0.02815951406955719,-0.2879873011261225,-0.6118301823735237
Investor-Letter-Q3-2012-10,-1.069439124315977,-0.009900473989546299,-1.9778274884447455,-3.057167086750269
Investor-Letter-Q4-2011,-3.6734244264662266,-0.06695442274212837,-0.9505536635406315,-4.6909325127489865
Investor-Letter-Q42012-01,-1.457208601757884,-1.5680264234542847,-2.5115373581647873,-5.536772383376956
Investor_Letter_Q12013,-1.8062391690909863,-0.10950124263763428,-2.837302653118968,-4.7530430648475885
July-Investor-Letter-1130am,-1.7641457710415125,-0.9572113752365112,-1.6786219784989953,-4.399979124777019
July2014EarningsLetter_7,-0.19402801897376776,-0.5053614266216755,-0.19400959461927414,-0.8933990402147174
Q1-11-Letter-to-shareholders,-2.826406636275351,-0.34422412514686584,-0.08395424485206604,-3.254585006274283
Q114-Earnings-Letter-4,-0.2407036805525422,-0.2217579372227192,-0.5128094023093581,-0.9752710200846195
Q116LettertoShareholders_W_TABLES_,-0.3624180220067501,-3.523868065327406,-0.5584955532103777,-4.444781640544534
Q117ShareholderLetterV2FINAL,-0.48054037149995565,-0.8430499639362097,-0.691220847889781,-2.0148111833259463
Q1_15_Earnings_Letter_final_tables,-2.197097847238183,-3.0150311067700386,-0.3104901909828186,-5.52261914499104
Q2-19-Shareholder-Letter-FINAL,-0.40699933655560017,-2.156166199594736,-0.20381831377744675,-2.766983849927783
Q213-Investor-Letter,-2.0013945596292615,0.0,-1.774193413555622,-3.7755879731848836
Q216LettertoShareholders_FINAL_w_Tables,-0.2598835797980428,-4.675888086669147,-1.236220601014793,-6.171992267481983
Q2_17_Shareholder_Letter,-0.5019536344334483,-0.9967016503214836,-0.5891151772812009,-2.087770462036133
Q313-Earnings-Letter-10,-1.0687740743160248,-0.5450152158737183,-1.8790809996426105,-3.4928702898323536
Q3_14_Letter_to_shareholders,-0.24999528378248215,-2.88336889911443,-1.0256421230733395,-4.159006305970252
Q3_17_Shareholder_Letter_COMBINED,-0.4212505929172039,-1.023230079561472,-0.3723423629999161,-1.816823035478592
Q4-13-Letter-to-shareholders,-0.8666913956403732,-0.8038922902196646,-1.1637968802824616,-2.8343805661424994
Q416ShareholderLetter,-0.5813668444752693,-3.5308748930692673,-0.5598169490695,-4.672058686614037
Q4_14_Letter_to_shareholders,-0.08003248972818255,-2.5061381086707115,-0.11419627442955971,-2.700366872828454
Q4_15_Letter_to_Shareholders_-_COMBINED,-0.162799253128469,-1.250378880649805,-1.0331800347194076,-2.4463581684976816
