profit_score,revenue_score,forecast_score,total_score,report,profit_manual,revenue_manual,forecast_manual,total_manual
0.861534889,0.799919804,0.3825501,0.854697108,FINAL-Q4-16-Shareholder-Letter,-0.538461538,-0.176470588,0.454545455,-0.071428571
0.862506334,0.801050728,0.957871337,1,FINAL-Q1-17-Shareholder-Letter,-0.846153846,0.058823529,0.272727273,-0.142857143
0.97162089,0.694500818,0.226298643,0.794241987,FINAL-Q2-17-Shareholder-Letter,-0.384615385,-0.294117647,0.272727273,-0.142857143
0.723504467,0.73663478,0.693356039,0.82304979,FINAL-Q3-17-Shareholder-Letter,-0.384615385,-0.058823529,0.454545455,0.071428571
0.692914669,0.420656342,0.08859574,0.436936085,FINAL-Q4-17-Shareholder-Letter,-0.538461538,-0.058823529,1,0.214285714
0.673438656,0.705987799,0.497838993,0.729026953,FINAL-Q1-18-Shareholder-Letter,-0.846153846,-0.058823529,0.636363636,-0.071428571
0.673438656,0.522133428,-0.560214751,0.335975121,FINAL-Q2-18-Shareholder-Letter,-0.846153846,-0.294117647,-0.090909091,-0.5
0.693518832,0.687933706,0.423830458,0.707423728,FINAL-Q3-18-Shareholder-Letter,-0.692307692,-0.176470588,0.636363636,-0.071428571
0.689884876,0.37386996,0.090683335,0.403419153,FINAL-Q4-18-Shareholder-Letter,-0.692307692,-0.294117647,0.454545455,-0.214285714
0.673438656,0.547300759,0.088179648,0.515865411,FINAL-Q1-19-Shareholder-Letter,-0.846153846,-0.058823529,0.454545455,-0.142857143
0.673438656,0.679235526,-0.698368683,0.410865141,FINAL-Q2-19-Shareholder-Letter,-0.846153846,-0.294117647,0.636363636,-0.214285714
0.580469339,1,0.191466609,0.813179809,FINAL-Q3-19-Shareholder-Letter,-0.846153846,0.294117647,0.636363636,0.142857143
0.609901177,0.60911197,0.480834367,0.627168011,FINAL-Q4-19-Shareholder-Letter,-0.692307692,-0.058823529,-0.454545455,-0.428571429
0.6248763,0.343402745,-0.299933945,0.253593939,FINAL-Q1-20-Shareholder-Letter,-0.692307692,-1,-0.454545455,-1
0.673438656,0.506621012,0.347157953,0.552361821,FINAL-Q2-20-Shareholder-Letter,-0.846153846,-0.294117647,0.454545455,-0.285714286
0.659499378,0.613143707,-0.257231249,0.468661775,FINAL-Q3-20-Shareholder-Letter,-0.538461538,-0.294117647,0.636363636,-0.071428571
0.859800976,0.675860299,0.601238569,0.822177949,FINAL-Q4-20-Shareholder-Letter,-0.538461538,0.294117647,0.454545455,0.214285714
0.768093217,0.660180009,-0.259954574,0.552186013,FINAL-Q1-21-Shareholder-Letter,-0.692307692,-0.176470588,0.636363636,-0.071428571
0.651996934,0.769259595,-0.498783405,0.513421674,FINAL-Q2-21-Shareholder-Letter,-0.384615385,0.176470588,1,0.428571429
0.673438656,0.547706979,0.412818651,0.597434878,FINAL-Q3-21-Shareholder-Letter,-0.846153846,-0.294117647,1,-0.071428571
0.768195486,0.674565917,-0.143341231,0.591458616,FINAL-Q4-21-Shareholder-Letter,-0.692307692,-0.176470588,-0.090909091,-0.357142857
0.677372724,0.907475515,-0.307305783,0.669703926,FINAL-Q1-22-Shareholder-Letter,-0.692307692,-0.294117647,-0.636363636,-0.642857143
0.837812641,0.395771021,-0.408018593,0.363866362,FINAL-Q2-22-Shareholder-Letter,-0.384615385,0.529411765,0.272727273,0.357142857
0.513855963,-0.149417912,-0.747529192,-0.254495983,FINAL-Q3-22-Shareholder-Letter,-0.230769231,0.529411765,0.818181818,0.642857143
1,0.53519036,0.735628358,0.824191304,FINAL-Q4-22-Shareholder-Letter,-0.076923077,1,0.818181818,1
0.118188545,-0.859590973,-1,-1,FINAL-Q1-23-Shareholder-Letter,-0.076923077,0.764705882,0.090909091,0.571428571
0.297176382,-1,-0.3115374,-0.840701151,FINAL-Q2-23-Shareholder-Letter,-0.692307692,0.176470588,0.636363636,0.142857143
